id;total_limit;currency;start_date;end_date
1;23211;Automotive;2022-08-15;2022-08-15
2;44888;matrix Music;2022-08-14;2022-08-14
3;88160;Future Cambridgeshire Representative;2022-08-15;2022-08-15
4;68919;Chicken (Slovak;2022-08-14;2022-08-15
5;64295;payment;2022-08-15;2022-08-15
6;29151;Investment Account primary;2022-08-15;2022-08-14
7;360;Indiana task-force;2022-08-15;2022-08-15
8;46018;Investment Avon Tuna;2022-08-14;2022-08-14
9;12845;Investment Idaho Branding;2022-08-14;2022-08-14
10;81474;Implementation Granite;2022-08-15;2022-08-15
