id;total_limit;currency;type;start_date;end_date
1;65891;Unbranded Texas Architect;SPANISH;2022-08-13T07:46:32;2022-08-13T10:57:43
2;81283;turquoise harness;SPANISH;2022-08-13T11:43:02;2022-08-13T09:57:57
3;64654;Analyst bleeding-edge visionary;SPANISH;2022-08-13T12:08:29;2022-08-13T13:14:46
4;4805;Gorgeous Court Soft;CAR;2022-08-13T16:31:23;2022-08-13T11:50:11
5;60580;COM;CAR;2022-08-14T03:20:39;2022-08-13T12:49:21
6;68314;Branding Jamaican leading;ENGLISH;2022-08-13T23:29:32;2022-08-14T02:02:28
7;32039;Program Grove Washington;SPANISH;2022-08-13T16:00:50;2022-08-13T17:04:56
8;81144;Frozen USB bus;ENGLISH;2022-08-13T13:58:25;2022-08-13T09:22:37
9;28370;Incredible Chicken;CAR;2022-08-13T09:20:41;2022-08-13T13:35:14
10;22707;connecting workforce AGP;CAR;2022-08-13T09:16:19;2022-08-13T07:30:32
